"tweet_id","customer_text","silver_intent","silver_confidence","label_source"
"1599763","@121284 Apart from Saavn/Tune In, how to play music 4 music channels subscribed on Youtube !!!","other","low","heuristic_bootstrap"
"25007","@AmazonHelp Amazon Id __email__ I have added ₹460 and make a Jio recharge 399. As per your offer 101 cashback+ 20% on first top-up.I didn't","billing_charge_dispute","high","heuristic_bootstrap"
"570078","@AmazonHelp No updates, but i needed it yesterday, missed a project because of it","other","low","heuristic_bootstrap"
"485287","@AmazonHelp  https://t.co/QAfnVfgMOX","other","low","heuristic_bootstrap"
"2969423","Amazonからメール回答割とすぐ来て購入履歴から復旧したけど、リロードしても出なくて再インストールで直った。わかんなかったら電話で話すと書いてあったけど解決できてよかった。","other","low","heuristic_bootstrap"
"2886480","@115850 3rd time that the delivery boy did not have the machine to take card payment in Chennai. Have you mandated the service providers to have the card machines?","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"107304","@115830 @AmazonHelp any idea all day been waiting, it dose not take all day to get from Enfield to Harlow now does it.....","other","low","heuristic_bootstrap"
"644078","Calmo giorgio @120540 non mi ha ancora spedito Assassin's Creed Origins... stai calmo...","other","low","heuristic_bootstrap"
"2816356","@AmazonHelp Paid for one day shipping.  And the carrier is amazon for this order.","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"2739406","Après 3 soit disant passages du livreur, 5 conseillers au téléphone, (sans compter #twitter) voila le résultat ! merci @120533 Et bien vous pouvez définitivement m'oublier en tant que client pour #AmazonPrime, et même pour #Amazon tout court ! #onnousprendpourdescons https://t.co/a5Pfv5QlTB","other","low","heuristic_bootstrap"
"1590598","@AmazonHelp Can someone check about mine cause I was told I was eligible for an instant refund?","refund_request","high","heuristic_bootstrap"
"1831922","Anyway. Got woken up today by the Amazon delivery guy. Such is life. #foreveralone","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"2758170","@115821 As I expected, it ended up being hand-delivered to another resident (I don't know why they accepted the package when it wasn't in their name, but hey). I've contacted Amazon with hopes that they can figure out why these deliveries keep going to the wrong building.","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"2376176","@AmazonHelp 113-7443013-5748208 

That’s the order number under __email__","other","low","heuristic_bootstrap"
"2889323","@115850 Big fraud . 2 packets , not ordered were attempted to be delivered. Vendor from Sonepat, Haryana. Second packet declined but first was accidently accepted. Amazon tags present on both.","general_complaint","medium","heuristic_bootstrap"
"1189441","Amazonから新しいフィルムが届いたよ！！！

割れてたよ！！！

ヽ(´⊙◞౪◟⊙)ﾉわーい https://t.co/NVlP3Pxguy","other","low","heuristic_bootstrap"
"1916271","Our order no 408-1778399-6665929 never delivered to us and your app is also showing that it supposed to deliver soon.#AmazonIndia 1-","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"31323","@AmazonHelp I don't have that much patience, revert with positive reply or else will be posting on FB also","other","low","heuristic_bootstrap"
"2943235","Ima start buying three packs of water instead of two. Be RUNNING through it. I wish i could buy a pack of aquafina in the 1 liter bottles. @115821 do you have this?","other","low","heuristic_bootstrap"
"866042","@AmazonHelp @115851 @127586 @132458 @131283 @26653 When will you guys give me my refund?","refund_request","high","heuristic_bootstrap"
"2881275","@AmazonHelp Ok, thank you","other","low","heuristic_bootstrap"
"800350","Hi @AmazonHelp this time I want to help you by refunding some money 💰 Diwali 🌋gift 🎁","other","low","heuristic_bootstrap"
"2680303","@AmazonHelp Hi I'm being charged for a prime account when I don't have a prime account and am not sure how you got my bank details?","billing_charge_dispute","high","heuristic_bootstrap"
"231779","@115850 I bought product @115821 during the great indian festival 21st to 24th sep Amazon is denying Buy now Pay next year offer on EMI. #BadAmazon😡","other","low","heuristic_bootstrap"
"2280516","Amazonからなんか荷物くるけど最近何も買ってないよ？？？？🤔","other","low","heuristic_bootstrap"
"1004652","KD meus mimos @115821","other","low","heuristic_bootstrap"
"2499112","@AmazonHelp Hope it is... Thanks for the reply though","other","low","heuristic_bootstrap"
"125299","@AmazonHelp Denke schon, dass geht ja alles automatisch. Es steht zumindest da, dass alles aktuell ist","other","low","heuristic_bootstrap"
"2598576","@735694 @116316 es geht darum das der hänlder auf nichts reagiert, nichtmal auf die mail von amazon. jetzt gehts zurück, geld zurück, kamera richtig neu gekauft, nicht der ""betrug"" der da gemacht wurde","other","low","heuristic_bootstrap"
"136144","@AmazonHelp Hey, wegen Montag, zahlt ihr die Differenz? Gleicher Anbieter auf seiner Plattform bietet gleiches Produkt zu ähnlichen Konditionen heute an.","other","low","heuristic_bootstrap"
