"tweet_id","customer_text","brand_reply_text","my_intent_label","notes"
"299635","@115850 @115851 Is this amazon? Received a used phone. Cust care says we cant do anything. I was a huge fan. Pathetic. @118702 rocks. https://t.co/DQpkdqRhiC","@187423 Sorry to know about the issue with your order. Kindly fill in your details here: https://t.co/GIJyeY99fq, I'll look into it. ^NR","",""
"639241","@AmazonHelp will Middle-Earth: Shadow of War Gold Edition be shipped to have it on launch day? It doesn't have a delivery estimate at all...","@271638 We'll e-mail you w/ any delivery date updates. Just to confirm, was Release-Day shipping selected during checkout? ^EP","",""
"386766","¡Gracias por llegar a tiempo @116928! 🎁👧🏻 #EmpresasqueSuman","@207564 Nos alegra saber que has recibido un buen servicio. ^VL","",""
"180617","@115821 not a good service provide by Amazon and delivery is very poor","@158463 I'm sorry for the unpleasant experience. We'd like to work on it. Kindly report this to our support team (1/2)^AP","",""
"384507","@115850
Ordered a battery, wasn't satisfied. Initiated return, came to know that I will have to send to it Amazon.. Contd.. (1/n)","@172256 Apologies for the trouble. Kindly reach out to our support team here:https://t.co/vlvfJr4nN9 we'll look into it for you. ^EM","",""
"179216","@AmazonHelp Afraid not - just checked! I wouldn’t be so annoyed if it was the first time, but it happens every time!!!","@158246 We would like to look into this with you, can you contact us via:https://t.co/MP5vzJO4aR (You won't need to sign in) ^NV","",""
"219567","@AmazonHelp @115851 yes I did. Tell me what is your SLA for solving issue? Seems to be in years.","@168355 Thanks for confirming. You should've received a reply from us, you can check your inbox here: https://t.co/DTSNmGldJf. ^MS","",""
"422707","@AmazonHelp Its amazing ..brands r asking to make shopping while amazon is stopping being shopping on its app. Really amazing","@215662 are the right team to assist you at this point in time. (3/3) ^MO","",""
"246436","@AmazonHelp Update* thanks to amazon for re arranging delivary for this evening for me, parcel has now arrived 👍","@174531 This is wonderful news, Jonathan! Thanks for letting us know! We hope you enjoy your weekend! 😊 ^WJ","",""
"400803","@149473 @AmazonHelp @115850 AWB 57922902354 not delivered stating premises closed, completely incorrect status, we were at home","@210802 I'm sorry about the trouble with the delivery. We'd like to help, kindly connect with us here: https://t.co/vlvfJr4nN9 ^MA","",""
"825865","@AmazonHelp They were very rude which surprised me because I have always had great experiences with amazon","@316695 I'm sorry! Your bank would be in the best position to assist you. Here's the list of contact info: https://t.co/mOqi2oeOy9 ^AG","",""
"422015","@115851 @115850 what the hell are you doing you're supporting your seller.. It seems that you are no more interested in business https://t.co/reTAXJL8HN","@206184 Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^AG","",""
"829547","@115850 very poor feedback .very disappointing services. https://t.co/VyTFtffRGJ","@317323 If your account had been put on hold. You would be receiving an update from our account specialist team. (1/2) ^VM","",""
"432959","@115850 hi amazon... Thrice it has happened dat i order frm u as u have gr8 prices but ur delivery guys play smart...they dnt deliver 1/n","@217953 Have you reported this to our support team: https://t.co/vlvfJr4nN9? ^HA","",""
"885481","@AmazonHelp very unhappy with my delivery. Book has been bent completely out of shape by delivery driver. Sad primary school teacher 😟 https://t.co/d2SIHpHcJP","@330256 I'm sorry it arrived in that condition! Use the Returns Support Centre to check out options: https://t.co/Zw1EtnVKE4 ^GL","",""
"761237","Madre mía. El servicio de @116928 por llamada es de 10. Me han quitado el mal sabor de boca del trabajo desastroso de @135806","@301883 Hola, Jorge. Dinos, ¿tu problema fue resuelto? ^CR","",""
"205745","@115821 this was shoved in my mailbox by your non USPS carrier and was gone when I got home. Pic courtesy of your site. https://t.co/gqBL8KEM3L","@164747 We're sorry to see this! We'd like to help; who is the listed carrier for this order: https://t.co/Y5jpI9gRhE? ^WM","",""
"830168","@115850 I am an existing prime member, how can i renew my prime membership before it expires?","@317679 for the next year is added to your cart automatically.Please refer https://t.co/9OJHAgxsHU to learn more about the program(2/2)^SF","",""
"182985","@AmazonHelp I have filled the form. Unfortunately i have provided a wrong order id. Therefore i refilled a second form with the correct one","@159037 Thank you for the heads up. Our team will reach out to you at the earliest. Appreciate your understanding. ^HD","",""
