"tweet_id","customer_text","brand_reply_text","thread_id","created_at"
"1714182","@AmazonHelp hi I ordered a parcel yesterday which was prime and it says it’s out for delivery and I’ve been waiting all day","@129750 We know how hard waiting can be! Our couriers deliver until 21:00. Please let us know if it hasn't arrived by then! ^ML","1714182","Tue Oct 17 18:10:11 +0000 2017"
"657947","@AmazonHelp We are moving in a circle. I'm searching help because I can't contact Amazon China, but the only help I receive is an advise to contact Amazon China. This is a really ridiculous situation! if all sellers can't receive support from AMAZON China I don't understand how it works. https://t.co/vaMpve4Pzp","@276629 Please contact Amazon.cn (@亚马逊客服) on Weibo. https://t.co/Ip1QQm4Jjd
Or you can contact CN customer service to get your inquiry transferred to their seller support: https://t.co/HO3jbpO9AM ^YM","657958","Wed Nov 22 13:54:12 +0000 2017"
"812494","@AmazonHelp I need to read the book. Who can wait till you send a replacement?","@313598 I see your enthusiasm, But as you've stated the product is defective. We request you to return the product for a replacement. ^PJ","812493","Sat Nov 25 09:38:40 +0000 2017"
"2102711","@AmazonHelp Dear Sir l have ordered my NOKIA model number 130 DS (Black) mobile with amazon  order no 403-9527897-0448309, dated 27.10.2017. I have received the phone on 07.11.2017","@281472 Please don’t provide your order details, we consider them as personal information. Our Twitter page is visible to public. ^VM","2102711","Wed Nov 08 11:01:05 +0000 2017"
"394441","@AmazonHelp Please check the dm for latest updates","@182608 We'll check and revert to you via DM. ^HN","394440","Tue Oct 10 17:59:34 +0000 2017"
"376822","PSA Don’t buy an @115821 Alexa BECAUSE THEY DONT EVER WORK!!!!!! 😒😒😒","@205403 We'd like to help, if possible! What are you trying to do? Are you receiving an error message? ^BH","376822","Mon Oct 09 03:09:25 +0000 2017"
"2254471","@AmazonHelp I really like these cards too...its sad that id have to return these but man 3 cards for the price of 6 is not a good trade off.... https://t.co/LLFLuZ9T6a","@447329 That's not good! Let's talk about this in real time. Please call or chat with us here: https://t.co/vPaY7O3I9v ^BA","2254472","Fri Nov 10 23:39:58 +0000 2017"
"450719","So @115830 I pay for prime and 3/5 of my last prime deliveries haven’t arrived on time and one electrical item was left outside?? An explanation would be nice!","@221862 to set this preference here: https://t.co/YVzzjLvLam (2/2) ^LR","450719","Thu Nov 30 21:40:03 +0000 2017"
"1830701","@AmazonHelp That means u are forcing me to buy something with the amount entered due to your server showing bad request after the transaction","@549350 We understand there has been an inconvenience. However, for any further insight on this,(1/2) ^VM","1830697","Wed Oct 18 05:44:01 +0000 2017"
"1279774","@115821 order placed on 14/10/17 thru prime, nos-405-0867874-1553912,not recieved yet,plz cancel &amp; refund total amount.","@419457 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^MK","1279774","Thu Oct 26 16:43:11 +0000 2017"
"2104950","@115850  one of the worst customer care service you have , from last 2 weeks i am trying to reach out for resolution i am not getting an out put , can you please call me at 9841645754 , one of my product was dispatched on 30th oct and till 7th i have not received it ,","@621340 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^VN","2104950","Wed Nov 08 12:42:18 +0000 2017"
"479388","So disappointed in @115821 customer service, spoke to 5 different reps who all were rude and didn't have a reason about why my package has been late for a week. @AmazonHelp please help!","@228929 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB","479388","Fri Dec 01 12:37:47 +0000 2017"
"1161587","@AmazonHelp It doesn't show as an order available for packaging feedback, I'll check back later to see if it will let me","@231482 Keep us posted, we're here for you! ^JE","1161586","Sun Oct 15 19:18:01 +0000 2017"
"107257","@AmazonHelp Still nothing posted. What are the odds anyway?","@139821 All the winners are published on our website and are contacted by our specialist team via email. Please stay tuned. ^MK","107260","Thu Nov 30 18:26:10 +0000 2017"
"1244955","@115830 Can't help but feel if I had a few more followers and drummed up a bit more fuss Amazon might have felt more inclined to make it right.","@158380 Were you able to respond to the link we initially provided: https://t.co/OnGmroNO7L? If not, please provide details there. ^SJ","1244956","Wed Oct 25 23:23:44 +0000 2017"
"2803275","@AmazonHelp Desktop web. If you click the Cart button, you can indeed Save For Later. If you Proceed to Checkout, though, no such option. So on me for pressing the wrong button. Still makes no sense to take away an option on that screen, but the option is there if you go to the right place","@474476 Thanks for taking the time to share your thoughts about the ""Save for later"" button. This type of information helps us improve for the future. Hope you have a great rest of your night!

- Liz I","2803274","Wed Nov 22 01:58:46 +0000 2017"
"2604275","プライムビデオ最高や。ほぼ有田の奴しか見てないけど","@736906 プライムビデオをご利用いただきありがとうございます。どうぞお楽しみくださいませ！😄 EK","2604275","Fri Nov 17 09:09:18 +0000 2017"
"2829449","Dear @117795 @115830 please tell me why I am paying you for your one-day delivery to tell me it'll be delivered on Thursday?","@787933 One day delivery is from the date of dispatch. Apologies for any confusion caused.^PK","2829449","Mon Nov 27 12:33:02 +0000 2017"
"2465464","@AmazonHelp And I thought Amazon was to save time and money instead of wasting.","@191152 Kindly fill in the form, we will check and connect with you accordingly. ^RW","2465463","Wed Nov 15 09:58:31 +0000 2017"
"1464174","@AmazonHelp Okay but you never did answer my question, from where do I activate the free prime membership with echo. I never received any instruction in the package or email.","@459850 That's strange! The Prime membership should have been activated by now. Let us check this out for you. Please reach us via the link provided earlier and we'll check this out. ^VM","1464173","Sun Nov 26 02:52:33 +0000 2017"
"60229","Yoooo my free trial for amazon ended and they charged me $54! I’m sick.","@129771 I'm sorry for the unexpected charge! You may cancel your Prime membership via the following link: https://t.co/2tXsb4mRbe ^WM","60229","Wed Nov 01 21:07:11 +0000 2017"
"539764","@116935 I am a Prime member and I am still getting this message. When will you rectify this? Still waiting 72 hours for a resolution. https://t.co/mUpcADYuNd","@245183 I'm sorry to hear this, Robert. Have you had a chance to contact us by phone for real-time assistance using the following link: https://t.co/dNXwBZPiM6? ^GR","539764","Sat Dec 02 14:57:27 +0000 2017"
"2526206","@AmazonHelp Nope","@719308 We're not able to access account sensitive information here on twitter. However, please allow us to take a closer look at the order with you here: https://t.co/hApLpMlfHN ^QJ","2526205","Thu Nov 16 04:12:07 +0000 2017"
"1662567","@AmazonHelp https://t.co/PO5oy48e3G","@506975 Hi Andy. If you get in touch: https://t.co/JzP7hlA23B, we'll be happy to see if there's any available options. ^DC","1662566","Mon Nov 06 09:43:13 +0000 2017"
"2669950","I swear @115830 wait till you’re busy to deliver your orders!! I’ve been off all week waiting for my many parcels and I’ll bet anything they arrive when I’m back at work tomorrow!!","@552543 Hi, do you have unattended delivery preferences set on our account: https://t.co/1OqiLMDbVn? ^JJ","2669950","Sun Nov 19 11:46:30 +0000 2017"
"1232167","When you order an Amazon parcel and only receive the packaging😕 https://t.co/eps8LpE6pX","@408984 I'm sorry this happened! When you have a moment, please reach out to us here: https://t.co/EKXRLsF8B2 ^AC","1232167","Wed Oct 25 19:55:14 +0000 2017"
"2883439","@115850 you need 15 days for refund ???","@799932 I get your disappointment, Shaikh. Could you elaborate the issue so that we can assist you accordingly? ^NK","2883439","Tue Nov 28 10:10:47 +0000 2017"
"2919953","あまぞんぷらいむすてゅーでんと無料体験版会員になりました来年？から金払うぞぉ","@808166 ご登録ありがとうございます(◍ •◡• ◍) SK","2919953","Wed Nov 29 00:44:02 +0000 2017"
"1605633","@115850 @AmazonHelp Never thought my speakers gonna work intermittently n u wouldn't replace just coz its 4 days past replacement period","@492535 I get your concern, Sovan. Post return window, we wouldn't be able to process a replacement/ refund. (1/2) ^SV","1605633","Sun Nov 05 02:12:25 +0000 2017"
"2714664","@115821 Hey I was waiting for a package all day today. Now it says it’s gonna be late. Can I pick it up instead of having it delivered tomorrow?","@762067 I'm very sorry your order hasn't arrived. This option may be available depending on the carrier. Who's listed as the carrier on the order: https://t.co/Ksschj1Oek? Has the latest tracking updated with a new expected delivery date? ^CL","2714664","Mon Nov 20 04:36:39 +0000 2017"
